alpha_id,segment,cost_bps_one_way,bars,net_return,net_sharpe_daily,max_drawdown,avg_turnover_per_bar,annualized_turnover,trade_events,mean_abs_position,gross_bps_per_unit_turnover
LT_MOM_0240,train,0.0,1893888,0.1944654572896578,0.447080008091242,-0.29366979654964886,0.00034273421624675393,180.15484280884266,3186,0.12358961254358292,3.6280564582572934
LT_MOM_0240,validation,0.0,631296,0.10633556517726417,1.003013753113568,-0.0856824977018833,0.0003402524453122169,178.7145763412118,1054,0.12560826539993286,5.101634766506
LT_MOM_0240,train,2.0,1893888,0.04904604641872856,0.20052864838194903,-0.3370996055792872,0.00034273421624675393,180.15484280884266,3186,0.12358961254358292,3.6280564582572934
LT_MOM_0240,validation,2.0,631296,0.0598354787352422,0.6092602766223122,-0.09148960942132012,0.0003402524453122169,178.7145763412118,1054,0.12560826539993286,5.101634766506
LT_MOM_0240,train,6.0,1893888,-0.1908491171131932,-0.29180392110833114,-0.41661030192733195,0.00034273421624675393,180.15484280884266,3186,0.12358961254358292,3.6280564582572934
LT_MOM_0240,validation,6.0,631296,-0.027388698750390184,-0.17533345747622087,-0.1210229124019997,0.0003402524453122169,178.7145763412118,1054,0.12560826539993286,5.101634766506
LT_MOM_0240,train,10.0,1893888,-0.37589853391073136,-0.7826944634874178,-0.5042739823210796,0.00034273421624675393,180.15484280884266,3186,0.12358961254358292,3.6280564582572934
LT_MOM_0240,validation,10.0,631296,-0.10744065877684084,-0.9543534838761629,-0.171786939192634,0.0003402524453122169,178.7145763412118,1054,0.12560826539993286,5.101634766506
LT_MOM_0720,train,0.0,1893888,0.6852597734063746,0.7576825245190693,-0.36178419601260325,0.00035028462298214436,184.12375317513943,3290,0.1970137655735016,10.086213602009911
LT_MOM_0720,validation,0.0,631296,0.1630369304429362,1.112696435557013,-0.09441177602597695,0.0003538752207532525,185.8698203265667,1106,0.1951015144586563,7.598166021907742
LT_MOM_0720,train,2.0,1893888,0.47585705718923443,0.6073816528365237,-0.3743895604587706,0.00035028462298214436,184.12375317513943,3290,0.1970137655735016,10.086213602009911
LT_MOM_0720,validation,2.0,631296,0.11221640930143373,0.8194467656767567,-0.10006542868594204,0.0003538752207532525,185.8698203265667,1106,0.1951015144586563,7.598166021907742
LT_MOM_0720,train,6.0,1893888,0.1318586141316822,0.3068421247573118,-0.4590312181276964,0.00035028462298214436,184.12375317513943,3290,0.1970137655735016,10.086213602009911
LT_MOM_0720,validation,6.0,631296,0.017134817897622057,0.23364699468245106,-0.12929181600141026,0.0003538752207532525,185.8698203265667,1106,0.1951015144586563,7.598166021907742
LT_MOM_0720,train,10.0,1893888,-0.13197800411426586,0.006471200009432947,-0.5553833219323382,0.00035028462298214436,184.12375317513943,3290,0.1970137655735016,10.086213602009911
LT_MOM_0720,validation,10.0,631296,-0.06982515046448967,-0.3505458116582571,-0.1839932113867142,0.0003538752207532525,185.8698203265667,1106,0.1951015144586563,7.598166021907742
LT_MOM_1440,train,0.0,1893888,0.021894418424902806,0.21555468624274304,-0.5302192842936352,0.00028470534016378224,149.65260431170464,2683,0.24067312479019165,3.8260356245407863
LT_MOM_1440,validation,0.0,631296,-0.08275762996121538,-0.30839177127418277,-0.22639744658919725,0.0002920975093729794,153.42163883149624,916,0.24890698492527008,-3.2665386536162253
LT_MOM_1440,train,2.0,1893888,-0.08257486707304573,0.10281727759905544,-0.5648595623521757,0.00028470534016378224,149.65260431170464,2683,0.24067312479019165,3.8260356245407863
LT_MOM_1440,validation,2.0,631296,-0.11597004173817271,-0.49647491836910057,-0.25255738029556085,0.0002920975093729794,153.42163883149624,916,0.24890698492527008,-3.2665386536162253
LT_MOM_1440,train,6.0,1893888,-0.2605749064258983,-0.12225981229280986,-0.6287137792910973,0.00028470534016378224,149.65260431170464,2683,0.24067312479019165,3.8260356245407863
LT_MOM_1440,validation,6.0,631296,-0.17883431701098185,-0.870860301594914,-0.30225622080286063,0.0002920975093729794,153.42163883149624,916,0.24890698492527008,-3.2665386536162253
LT_MOM_1440,train,10.0,1893888,-0.4040495021845909,-0.3467690123397179,-0.6832018292367188,0.00028470534016378224,149.65260431170464,2683,0.24067312479019165,3.8260356245407863
LT_MOM_1440,validation,10.0,631296,-0.23723279531357966,-1.242725134881467,-0.3486541170111668,0.0002920975093729794,153.42163883149624,916,0.24890698492527008,-3.2665386536162253
LT_MOM_4320,train,0.0,1893888,0.4636081532682761,0.5743185809608208,-0.5110071807151872,0.00021131140238139778,111.07374664396048,1997,0.33054715394973755,15.682513404508967
LT_MOM_4320,validation,0.0,631296,0.37356906465116047,1.3750137756256495,-0.1272313275891056,0.00022192439064383507,116.56384478509426,698,0.33799418807029724,25.2687036213666
LT_MOM_4320,train,2.0,1893888,0.3510238088155093,0.501029588646627,-0.5298055193626015,0.00021131140238139778,111.07374664396048,1997,0.33054715394973755,15.682513404508967
LT_MOM_4320,validation,2.0,631296,0.3356699788971724,1.2659678155445044,-0.12852220716112017,0.00022192439064383507,116.56384478509426,698,0.33799418807029724,25.2687036213666
LT_MOM_4320,train,6.0,1893888,0.15115865512305748,0.3544824102000168,-0.5652640342539776,0.00021131140238139778,111.07374664396048,1997,0.33054715394973755,15.682513404508967
LT_MOM_4320,validation,6.0,631296,0.262975790319389,1.0480071682262326,-0.1372495351469064,0.00022192439064383507,116.56384478509426,698,0.33799418807029724,25.2687036213666
