alpha_id,segment,benchmark,window_minutes,sampling_minutes,mean,std,p05,p95
LT_MOM_0240,train,BTC_SPOT,60,5,0.00303490692975527,0.801406139301999,-1.0254745704176684,1.03071122477107
LT_MOM_0240,validation,BTC_SPOT,60,5,-0.009270289902236533,0.8422444622719126,-1.0410496572744916,1.040479872153944
LT_MOM_0240,train,BTC_SPOT,240,5,0.0031718378270056587,0.7643674053642898,-1.0058139511171738,1.0133509642710572
LT_MOM_0240,validation,BTC_SPOT,240,5,-0.00798814650170595,0.8044654335020212,-1.0200062200699378,1.0200608955276846
LT_MOM_0240,train,BTC_SPOT,1440,5,-0.012837852968704766,0.5669147025717121,-0.9395856274839657,0.9838651601937912
LT_MOM_0240,validation,BTC_SPOT,1440,5,-0.0028434091385587676,0.6090889781252314,-0.9836721962660997,0.9994436221475699
LT_MOM_0240,train,ETH_SPOT,60,5,0.0029875396181240346,0.5901938473864402,-0.9006964665736426,0.9398404554049384
LT_MOM_0240,validation,ETH_SPOT,60,5,0.0046748832405951474,0.6674763053950393,-0.9727796371368631,1.0459375164972098
LT_MOM_0240,train,ETH_SPOT,240,5,0.0023851786545182273,0.548667973821232,-0.8319193711266587,0.8658698512066949
LT_MOM_0240,validation,ETH_SPOT,240,5,0.007249844245941099,0.6161460260344996,-0.8758889582296738,0.9512728128152905
LT_MOM_0240,train,ETH_SPOT,1440,5,-0.012437316124501014,0.3997332087057339,-0.6487800571875616,0.6783431835579696
LT_MOM_0240,validation,ETH_SPOT,1440,5,0.005668922032338997,0.46268267755869846,-0.7012190959743873,0.7763614563566289
LT_MOM_0720,train,BTC_SPOT,60,5,0.01328301364911416,0.8838336443694143,-1.0354285702126993,1.036523013482419
LT_MOM_0720,validation,BTC_SPOT,60,5,-0.01840782644366784,0.8616908573929868,-1.041668486165893,1.0423697371857346
LT_MOM_0720,train,BTC_SPOT,240,5,0.013139183900845473,0.8581608089098771,-1.0167948784520993,1.018066541348572
LT_MOM_0720,validation,BTC_SPOT,240,5,-0.017576406562217654,0.8414824600088732,-1.021857703090746,1.021661025141917
LT_MOM_0720,train,BTC_SPOT,1440,5,0.004348954291466891,0.6799615500752663,-0.9735275098210792,1.0036037214825937
LT_MOM_0720,validation,BTC_SPOT,1440,5,-0.020148582951030083,0.6910747559713675,-0.9938198432133722,1.0053081115017188
LT_MOM_0720,train,ETH_SPOT,60,5,0.011649002819951019,0.6466787459976503,-0.928372960889509,0.9765960648537201
LT_MOM_0720,validation,ETH_SPOT,60,5,-0.0018322049312472545,0.6842434247342356,-0.9797465363607216,1.0552746055718405
LT_MOM_0720,train,ETH_SPOT,240,5,0.012046960329476851,0.6122784983259543,-0.8636342602543101,0.9120521564435939
LT_MOM_0720,validation,ETH_SPOT,240,5,-0.0008494217818142669,0.6463270734170102,-0.8946474025236296,0.9635482378594404
LT_MOM_0720,train,ETH_SPOT,1440,5,0.003644377866995084,0.4773550457692467,-0.7208797435087743,0.7841720922681016
LT_MOM_0720,validation,ETH_SPOT,1440,5,-0.00364082504959596,0.5292742730341973,-0.774832768290193,0.8222302307092253
LT_MOM_1440,train,BTC_SPOT,60,5,0.0053745731433294175,0.913238048753545,-1.051226915497187,1.0401276033042484
LT_MOM_1440,validation,BTC_SPOT,60,5,-0.021826517781141933,0.9407852026370589,-1.0549089379607668,1.0488937573543138
LT_MOM_1440,train,BTC_SPOT,240,5,0.006054698902945219,0.8961942345176747,-1.034459100723277,1.020735055596033
LT_MOM_1440,validation,BTC_SPOT,240,5,-0.02251338420668712,0.9222977335362262,-1.033481651719246,1.0259637160207566
LT_MOM_1440,train,BTC_SPOT,1440,5,0.008729652584136324,0.7698005809342546,-1.0044644567832057,1.0091569716744198
LT_MOM_1440,validation,BTC_SPOT,1440,5,-0.02947882971267486,0.7982127607264519,-1.0070724598928982,1.0126074808814651
LT_MOM_1440,train,ETH_SPOT,60,5,0.005778334458035328,0.6684135315688597,-0.9504017924385049,0.9893025083746686
LT_MOM_1440,validation,ETH_SPOT,60,5,-0.0032350472599617535,0.7441666356866063,-1.0025088519724639,1.078454320937707
LT_MOM_1440,train,ETH_SPOT,240,5,0.006094482682251319,0.6391969416579538,-0.8897407563341774,0.9240560637898981
LT_MOM_1440,validation,ETH_SPOT,240,5,-0.0033397124168339934,0.7053837457530703,-0.9104847712599122,0.9827890984940244
